title,book_link,book_image
Allegiant,https://www.amazon.com/Allegiant-Veronica-Roth-audiobook/dp/B00CS386E4/ref=sr_1_1?dchild=1&keywords=Allegiant&qid=1629097517&s=books&sr=1-1,https://m.media-amazon.com/images/I/A1qVPW7ci2L._AC_UY218_.jpg
The Goldfinch: A Novel (Pulitzer Prize for Fiction),https://www.amazon.com/The-Goldfinch-Donna-Tartt-audiobook/dp/B00ELMSEJC/ref=sr_1_1?dchild=1&keywords=The+Goldfinch%3A+A+Novel+%28Pulitzer+Prize+for+Fiction%29&qid=1629097521&s=books&sr=1-1,https://m.media-amazon.com/images/I/81BRWNvBqbL._AC_UY218_.jpg
And the Mountains Echoed,https://www.amazon.com/Mountains-Echoed-Khaled-Hosseini/dp/1594632383/ref=sr_1_1?dchild=1&keywords=And+the+Mountains+Echoed&qid=1629097524&s=books&sr=1-1,https://m.media-amazon.com/images/I/91vKWH1p9QL._AC_UY218_.jpg
Crazy Rich Asians (Crazy Rich Asians Trilogy),https://www.amazon.com/Crazy-Rich-Asians-Trilogy-Box/dp/0525566651/ref=sr_1_1?dchild=1&keywords=Crazy+Rich+Asians+%28Crazy+Rich+Asians+Trilogy%29&qid=1629097529&s=books&sr=1-1,https://m.media-amazon.com/images/I/819-fByUvTL._AC_UY218_.jpg
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",https://www.amazon.com/Dead-In-Family-Charlaine-Harris-audiobook/dp/B003KQMG2G/ref=sr_1_1?dchild=1&keywords=Dead+in+the+Family+%28Sookie+Stackhouse%2FTrue+Blood%2C+Book+10%29&qid=1629097532&s=books&sr=1-1,https://m.media-amazon.com/images/I/91SLIeSExWL._AC_UY218_.jpg
If I Stay,https://www.amazon.com/If-Stay-Collection-Gayle-Forman/dp/0147515025/ref=sr_1_1?dchild=1&keywords=If+I+Stay&qid=1629097535&s=books&sr=1-1,https://m.media-amazon.com/images/I/71BTl40TiTL._AC_UY218_.jpg
Origin: A Novel (Robert Langdon),https://www.amazon.com/Origin-Dan-Brown-audiobook/dp/B01LXP64UB/ref=sr_1_1?dchild=1&keywords=Origin%3A+A+Novel+%28Robert+Langdon%29&qid=1629097539&s=books&sr=1-1,https://m.media-amazon.com/images/I/8178rXr8qiL._AC_UY218_.jpg
The Confession: A Novel,https://www.amazon.com/Confession-Novel-Jo-Spain-ebook/dp/B074MBR8KL/ref=sr_1_1?dchild=1&keywords=The+Confession%3A+A+Novel&qid=1629097543&s=books&sr=1-1,https://m.media-amazon.com/images/I/81J24rOnVmL._AC_UY218_.jpg
The Handmaid's Tale,https://www.amazon.com/The-Handmaids-Tale-Claire-Danes-audiobook/dp/B008X6SZ0K/ref=sr_1_1?dchild=1&keywords=The+Handmaid%27s+Tale&qid=1629097548&s=books&sr=1-1,https://m.media-amazon.com/images/I/91MYe32UWmL._AC_UY218_.jpg
The Paris Wife: A Novel,https://www.amazon.com/Paris-Wife-Paula-McLain/dp/0345521315/ref=sr_1_1?dchild=1&keywords=The+Paris+Wife%3A+A+Novel&qid=1629097551&s=books&sr=1-1,https://m.media-amazon.com/images/I/91u4akDlUvL._AC_UY218_.jpg
The President Is Missing: A Novel,https://www.amazon.com/President-Missing-Novel-James-Patterson-ebook/dp/B072F3MYRH/ref=sr_1_1?dchild=1&keywords=The+President+Is+Missing%3A+A+Novel&qid=1629097555&s=books&sr=1-1,https://m.media-amazon.com/images/I/81LGL3GielL._AC_UY218_.jpg
The Racketeer,https://www.amazon.com/Racketeer-Novel-John-Grisham-ebook/dp/B007SGLZP8/ref=sr_1_1?dchild=1&keywords=The+Racketeer&qid=1629097558&s=books&sr=1-1,https://m.media-amazon.com/images/I/81kRMLAdSIL._AC_UY218_.jpg
Under the Dome: A Novel,https://www.amazon.com/Under-Dome-Stephen-King-audiobook/dp/B002WEBBOG/ref=sr_1_1?dchild=1&keywords=Under+the+Dome%3A+A+Novel&qid=1629097563&s=books&sr=1-1,https://m.media-amazon.com/images/I/51-gmhviiQL._AC_UY218_.jpg
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",https://www.amazon.com/Cabin-Fever-/dp/B00QO6P31K/ref=sr_1_1?dchild=1&keywords=Cabin+Fever+%28Diary+of+a+Wimpy+Kid%2C+Book+6%29&qid=1629097568&s=books&sr=1-1,https://m.media-amazon.com/images/I/81HHjsimU5L._AC_UY218_.jpg
Dear Zoo: A Lift-the-Flap Book,https://www.amazon.com/Dear-Zoo-Lift-Flap-Book/dp/141694737X/ref=sr_1_1?dchild=1&keywords=Dear+Zoo%3A+A+Lift-the-Flap+Book&qid=1629097572&s=books&sr=1-1,https://m.media-amazon.com/images/I/7161m0ErPpL._AC_UY218_.jpg
"Diary of a Wimpy Kid: Hard Luck, Book 8",https://www.amazon.com/Hard-Luck/dp/1419741942/ref=sr_1_1?dchild=1&keywords=Diary+of+a+Wimpy+Kid%3A+Hard+Luck%2C+Book+8&qid=1629097576&s=books&sr=1-1,https://m.media-amazon.com/images/I/81O4SCaXYoL._AC_UY218_.jpg
Diary of a Wimpy Kid: The Last Straw (Book 3),https://www.amazon.com/Diary-Wimpy-Kid-6-Aug-2009-Paperback/dp/B011T6YP2C/ref=sr_1_1?dchild=1&keywords=Diary+of+a+Wimpy+Kid%3A+The+Last+Straw+%28Book+3%29&qid=1629097580&s=books&sr=1-1,https://m.media-amazon.com/images/I/91fOAf7q21L._AC_UY218_.jpg
Diary of a Wimpy Kid: The Long Haul,https://www.amazon.com/The-Long-Haul/dp/1419741950/ref=sr_1_1?dchild=1&keywords=Diary+of+a+Wimpy+Kid%3A+The+Long+Haul&qid=1629097583&s=books&sr=1-1,https://m.media-amazon.com/images/I/81HQLooCFwL._AC_UY218_.jpg
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",https://www.amazon.com/Dog-Days/dp/B0030H0XSO/ref=sr_1_1?dchild=1&keywords=Dog+Days+%28Diary+of+a+Wimpy+Kid%2C+Book+4%29+%28Volume+4%29&qid=1629097586&s=books&sr=1-1,https://m.media-amazon.com/images/I/81sQo1dLiSL._AC_UY218_.jpg
Double Down (Diary of a Wimpy Kid #11),https://www.amazon.com/Double-Down/dp/1419741977/ref=sr_1_1?dchild=1&keywords=Double+Down+%28Diary+of+a+Wimpy+Kid+%2311%29&qid=1629097590&s=books&sr=1-1,https://m.media-amazon.com/images/I/81sGptoJdmL._AC_UY218_.jpg
Giraffes Can't Dance,https://www.amazon.com/Giraffes-Cant-Dance-Giles-Andreae/dp/0545392551/ref=sr_1_1?dchild=1&keywords=Giraffes+Can%27t+Dance&qid=1629097594&s=books&sr=1-1,https://m.media-amazon.com/images/I/91r5UtdC7tL._AC_UY218_.jpg
Go the F**k to Sleep,https://www.amazon.com/Go-F-Sleep-Adam-Mansbach/dp/1617750255/ref=sr_1_1?dchild=1&keywords=Go+the+F**k+to+Sleep&qid=1629097598&s=books&sr=1-1,https://m.media-amazon.com/images/I/91ig3dTSFgL._AC_UY218_.jpg
Goodnight Moon,https://www.amazon.com/Goodnight-Moon-Margaret-Wise-Brown/dp/0694003611/ref=sr_1_1?dchild=1&keywords=Goodnight+Moon&qid=1629097601&s=books&sr=1-1,https://m.media-amazon.com/images/I/91OmGflKYaL._AC_UY218_.jpg
Harry Potter Paperback Box Set (Books 1-7),https://www.amazon.com/Harry-Potter-Paperback-Box-Books/dp/0545162076/ref=sr_1_1?dchild=1&keywords=Harry+Potter+Paperback+Box+Set+%28Books+1-7%29&qid=1629097604&s=books&sr=1-1,https://m.media-amazon.com/images/I/71fNalmuvbL._AC_UY218_.jpg
If Animals Kissed Good Night,https://www.amazon.com/If-Animals-Kissed-Good-Night/dp/0374300216/ref=sr_1_1?dchild=1&keywords=If+Animals+Kissed+Good+Night&qid=1629097608&s=books&sr=1-1,https://m.media-amazon.com/images/I/81nzxODnaJL._AC_UY218_.jpg
Love You Forever,https://www.amazon.com/Love-You-Forever-Robert-Munsch/dp/0920668372/ref=sr_1_1?dchild=1&keywords=Love+You+Forever&qid=1629097611&s=books&sr=1-1,https://m.media-amazon.com/images/I/81vpsIs58WL._AC_UY218_.jpg
Old School (Diary of a Wimpy Kid #10),https://www.amazon.com/Old-School-Diary-Wimpy-Kid/dp/1419741969/ref=sr_1_1?dchild=1&keywords=Old+School+%28Diary+of+a+Wimpy+Kid+%2310%29&qid=1629097615&s=books&sr=1-1,https://m.media-amazon.com/images/I/81Pi3QmCWRL._AC_UY218_.jpg
Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),https://www.amazon.com/Percy-Jackson-Olympians-Paperback-Boxed/dp/1423113497/ref=sr_1_1?dchild=1&keywords=Percy+Jackson+and+the+Olympians+Paperback+Boxed+Set+%28Books+1-3%29&qid=1629097619&s=books&sr=1-1,https://m.media-amazon.com/images/I/51wARM30J9L._AC_UY218_.jpg
Player's Handbook (Dungeons & Dragons),https://www.amazon.com/Players-Handbook-Dungeons-Dragons-Wizards/dp/0786965606/ref=sr_1_1?dchild=1&keywords=Player%27s+Handbook+%28Dungeons+%26+Dragons%29&qid=1629097622&s=books&sr=1-1,https://m.media-amazon.com/images/I/81pViXqeVLL._AC_UY218_.jpg
Puppy Birthday to You! (Paw Patrol) (Little Golden Book),https://www.amazon.com/Puppy-Birthday-Patrol-Little-Golden/dp/0553522779/ref=sr_1_1?dchild=1&keywords=Puppy+Birthday+to+You%21+%28Paw+Patrol%29+%28Little+Golden+Book%29&qid=1629097626&s=books&sr=1-1,https://m.media-amazon.com/images/I/91n44kNS7IL._AC_UY218_.jpg
The Blood of Olympus (The Heroes of Olympus (5)),https://www.amazon.com/The-Blood-of-Olympus-Rick-Riordan-audiobook/dp/B00NHZ6MYS/ref=sr_1_1?dchild=1&keywords=The+Blood+of+Olympus+%28The+Heroes+of+Olympus+%285%29%29&qid=1629097630&s=books&sr=1-1,https://m.media-amazon.com/images/I/81RtAXeSBHL._AC_UY218_.jpg
The Book with No Pictures,https://www.amazon.com/Book-No-Pictures-B-Novak/dp/0803741715/ref=sr_1_1?dchild=1&keywords=The+Book+with+No+Pictures&qid=1629097634&s=books&sr=1-1,https://m.media-amazon.com/images/I/51N3aBWzwdL._AC_UY218_.jpg
The Day the Crayons Quit,https://www.amazon.com/Day-Crayons-Quit-Drew-Daywalt/dp/0399255370/ref=sr_1_1?dchild=1&keywords=The+Day+the+Crayons+Quit&qid=1629097637&s=books&sr=1-1,https://m.media-amazon.com/images/I/817siQlbS7L._AC_UY218_.jpg
The Getaway,https://www.amazon.com/The-Getaway/dp/1419741985/ref=sr_1_1?dchild=1&keywords=The+Getaway&qid=1629097641&s=books&sr=1-1,https://m.media-amazon.com/images/I/81RIhjgRjOL._AC_UY218_.jpg
The Going-To-Bed Book,https://www.amazon.com/Going-Bed-Book-Sandra-Boynton/dp/0671449028/ref=sr_1_1?dchild=1&keywords=The+Going-To-Bed+Book&qid=1629097645&s=books&sr=1-1,https://m.media-amazon.com/images/I/71slsnNNChL._AC_UY218_.jpg
The Hate U Give,https://www.amazon.com/Hate-U-Give-Angie-Thomas/dp/0062498533/ref=sr_1_1?dchild=1&keywords=The+Hate+U+Give&qid=1629097649&s=books&sr=1-1,https://m.media-amazon.com/images/I/417uKEjLwZL._AC_UY218_.jpg
The Help,https://www.amazon.com/Help-Kathryn-Stockett/dp/0425232204/ref=sr_1_1?dchild=1&keywords=The+Help&qid=1629097652&s=books&sr=1-1,https://m.media-amazon.com/images/I/81YI+R5RwFL._AC_UY218_.jpg
The Help,https://www.amazon.com/Help-Kathryn-Stockett/dp/0425232204/ref=sr_1_1?dchild=1&keywords=The+Help&qid=1629097656&s=books&sr=1-1,https://m.media-amazon.com/images/I/81YI+R5RwFL._AC_UY218_.jpg
"The House of Hades (Heroes of Olympus, Book 4)",https://www.amazon.com/The-House-of-Hades-Rick-Riordan-audiobook/dp/B00EFB2YAO/ref=sr_1_1?dchild=1&keywords=The+House+of+Hades+%28Heroes+of+Olympus%2C+Book+4%29&qid=1629097659&s=books&sr=1-1,https://m.media-amazon.com/images/I/91a22WHwe4L._AC_UY218_.jpg
The Hunger Games Trilogy Boxed Set (1),https://www.amazon.com/Hunger-Games-Trilogy-Catching-Mockingjay/dp/0545670314/ref=sr_1_1?dchild=1&keywords=The+Hunger+Games+Trilogy+Boxed+Set+%281%29&qid=1629097662&s=books&sr=1-1,https://m.media-amazon.com/images/I/61Fe0DGzaDL._AC_UY218_.jpg
